Day	Date	Time	201808 reversal1-25:Irrad	201808 reversal1-26:Sham	201808 reversal1-28:Irrad	201809 reversal-13:Sham	201809 reversal-14:Irrad	201809 reversal-15:Irrad	201809 reversal-16:Sham	201810 reversal-17:Sham	201810 reversal-18:Irrad	201810 reversal-20:Sham	201811 reversal1-17:Irrad	201811 reversal1-18:Sham	201811 reversal1-20:Irrad	201811 reversal2-21:Irrad	201811 reversal2-22:Sham	201811 reversal2-23:Sham	201811 reversal2-24:Irrad	201812 reversal-1:Sham	201812 reversal-2:Irrad	201812 reversal-3:Sham	201812 reversal-4:Irrad
-3	1950-05-29	10:02	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	121.392	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	10:03	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.804	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	10:04	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.049	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	10:05	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.192	0.000
-3	1950-05-29	10:06	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	66.284	0.000
-3	1950-05-29	10:07	nan	nan	nan	0.000	21.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	118.918	0.000
-3	1950-05-29	10:08	nan	nan	nan	0.000	200.169	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	101.603	0.000
-3	1950-05-29	10:09	nan	nan	nan	0.000	167.205	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.768	0.000
-3	1950-05-29	10:10	nan	nan	nan	0.000	157.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	10:11	nan	nan	nan	0.000	41.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	28.822	0.000	0.000	0.000	16.978	0.000
-3	1950-05-29	10:12	nan	nan	nan	0.000	176.406	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	112.062	0.000	0.000	0.000	84.557	0.000
-3	1950-05-29	10:13	nan	nan	nan	0.000	231.450	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	69.572	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	10:14	nan	nan	nan	0.000	144.256	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	69.117	0.000
-3	1950-05-29	10:15	nan	nan	nan	0.000	181.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	166.609	0.000
-3	1950-05-29	10:16	nan	nan	nan	0.000	117.654	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	184.512	0.000	0.000	0.000	70.067	0.000
-3	1950-05-29	10:17	nan	nan	nan	0.000	155.963	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	149.962	0.000	0.000	0.000	54.149	0.000
-3	1950-05-29	10:18	nan	nan	nan	0.000	229.587	0.000	37.698	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	144.772	0.000
-3	1950-05-29	10:19	nan	nan	nan	0.000	29.788	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	42.746	0.000	0.000	0.000	144.777	0.000
-3	1950-05-29	10:20	nan	nan	nan	0.000	80.363	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	114.878	0.000	0.000	0.000	89.911	0.000
-3	1950-05-29	10:21	nan	nan	nan	0.000	227.702	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	90.711	0.000	0.000	0.000	86.928	0.000
-3	1950-05-29	10:22	nan	nan	nan	0.000	170.755	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	85.710	0.000	0.000	0.000	186.568	0.000
-3	1950-05-29	10:23	nan	nan	nan	0.000	227.755	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	143.602	0.000
